Latitude,Longitude,Timestamp,Magnitude
31.28266667,-102.5516667,4/12/1977 23:18,2.3
31.50216667,-102.3461667,4/17/1977 21:47,1.6
31.604,-103.2473333,4/18/1977 18:08,1.8
32.18166667,-103.0201667,4/22/1977 22:56,1.3
32.06983333,-102.8115,4/25/1977 10:12,1.7
31.88716667,-102.9865,4/26/1977 9:03,3.1
31.82516667,-102.5176667,4/28/1977 12:55,2.5
31.86783333,-101.9878333,4/28/1977 15:22,1.6
31.772,-102.653,4/29/1977 3:09,1.6
35.55,-106.833,5/5/1977 0:33,1.6
35.533,-107.05,5/29/1977 5:10,1.4
34.02,-107.06,6/2/1977 6:48,2.2
35.738,-106.264,6/3/1977 18:41,1.5
32.78783333,-100.7398333,6/7/1977 23:01,3.8
32.831,-100.8256667,6/8/1977 0:51,2.9
31.024,-109.227,6/8/1977 13:09,4.5
32.92233333,-100.8163333,6/8/1977 13:29,3.6
32.86716667,-101.0433333,6/8/1977 13:39,2.6
32.90083333,-100.9461667,6/17/1977 3:37,2.7
31.54,-103.3,6/28/1977 23:59,2.3
31.5,-103.34,7/1/1977 1:06,2
36.231,-107.219,7/2/1977 1:24,2
31.79916667,-102.6176667,7/11/1977 12:31,1.8
31.78716667,-102.6791667,7/11/1977 13:29,1.4
31.77266667,-102.6386667,7/12/1977 17:06,1.6
31.77816667,-102.6998333,7/18/1977 12:37,1.7
31.802,-102.719,7/22/1977 4:01,2.8
31.81133333,-102.6831667,7/22/1977 4:18,1.6
31.794,-102.7016667,7/24/1977 9:23,1.5
34.521,-106.827,8/13/1977 7:59,1.6
34.053,-107.035,8/19/1977 9:22,2.7
31.6,-103.33,8/20/1977 2:29,1.9
36.708,-106.761,8/20/1977 13:52,1.8
30.542,-104.912,8/21/1977 3:01,2.4
35.617,-107.233,8/22/1977 15:10,2.1
35.541,-107.101,8/29/1977 7:13,1.9
36.181,-106.866,10/4/1977 20:57,1.8
32.914,-100.8105,10/13/1977 21:36,2.2
31.57,-102.46,10/17/1977 21:24,1.8
31.5245,-104.96,11/14/1977 7:26,2.7
33.021,-101.1388333,11/27/1977 20:48,2.7
32.97516667,-101.1395,11/28/1977 1:40,3.4
